id,links,benefits_to_germany,insights,created_at,updated_at
27,['https://getfit-zambia.org/wp-content/uploads/2020/04/KfW_Sustainability_Guideline_Oct_2019.pdf'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
28,['https://www.kfw.de/nachhaltigkeit/About-KfW/Sustainability/Strategie-Management/Sustainable-Finance/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
29,['https://www.kfw.de/About-KfW/Newsroom/Latest-News/Pressemitteilungen-Details_669440.html'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
30,['https://ngo-monitor.org/reports/germanys-development-cooperation-system-the-need-for-greater-transparency-and-accountability/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
31,['https://cdn.gihub.org/umbraco/media/2620/germany-case-study.pdf'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
32,['https://www.bmz.de/en/issues/climate-change-and-development/energy-and-climate'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
33,['https://www.kfw-entwicklungsbank.de/International-financing/KfW-Entwicklungsbank/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
34,['https://www.kfw.de/About-KfW/F%C3%B6rderauftrag-und-Geschichte/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
35,['https://www.kfw-entwicklungsbank.de/International-financing/KfW-Development-Bank/Tasks-and-goals/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
36,['https://hub.unido.org/bilateral-development-partners/germany'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
37,['https://www.greenclimate.fund/ae/kfw'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
38,['https://www.bmz.de/en/issues/climate-change-and-development/climate-financing'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
39,['https://www.giz.de/en/aboutgiz/corporate_responsibility.html'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
40,['https://www.kfw.de/About-KfW/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
41,['https://www.kfw-entwicklungsbank.de/International-financing/KfW-Development-Bank/Topics/Environment-and-sustainability/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
42,['https://www.kfw.de/nachhaltigkeit/About-KfW/Sustainability/Strategie-Management/KfW-und-SDG/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
43,['https://www.kfw.de/nachhaltigkeit/About-KfW/Sustainability/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
44,['https://www.deval.org/en/evaluations/our-evaluations/sustainability-in-german-development-cooperation'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
45,['https://www.kfw-ipex-bank.de/pdf/About-KfW-IPEX-Bank/Social-responsibility/Environmental-and-social-sustainability/2020_10-Nachhaltigkeitsrichtlinie-KfW-IPEX-Bank-2020.pdf'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
46,['https://www2.fundsforngos.org/donor-agencies/germanys-giz-driving-sustainable-development/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
47,['https://www.giz.de/en/worldwide/92126.html'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
48,['https://www.ifpri.org/partnership/german-federal-ministry-economic-cooperation-and-development-bmz/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
49,['https://www.bmz.de/en/issues/climate-change-and-development/climate-and-development-partnerships'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
50,['https://www.enterprise-development.org/agency-strategies-and-coordination/german-federal-ministry-for-economic-cooperation-and-development-bmz/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
51,['https://www.bmz.de/en/issues/climate-change-and-development'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
52,['https://siwi.org/latest/bmz-federal-ministry-for-economic-cooperation-and-development-germany/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
53,['https://www.worldbank.org/en/news/statement/2021/10/15/world-bank-germany-bmz-sign-mou-to-promote-green-resilient-and-inclusive-development'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
54,['https://europeanevaluation.org/federal-ministery-for-economic-cooperation-and-development-bmz/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
55,['https://www.giz.de/en/html/index.html'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
56,['https://www.greenclimate.fund/ae/giz'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
57,['https://www.giz.de/en/aboutgiz/33179.html'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
58,['https://www.environmentalgrants.org/german-corporation-for-international-cooperation-giz/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
59,['https://www.weforum.org/organizations/federal-ministry-for-economic-cooperation-and-development-of-germany/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
60,['https://www.kfw-entwicklungsbank.de/PDF/Download-Center/PDF-Dokumente-Richtlinien/Nachhaltigkeitsrichtlinie_EN.pdf'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
61,['https://www.kfw-entwicklungsbank.de/International-financing/KfW-Development-Bank/Tasks-and-goals/Our-cooperation-partners/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
62,['https://getfit-zambia.org/wp-content/uploads/2020/04/KfW_Sustainability_Guideline_Oct_2019.pdf'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
63,['https://www.kfw.de/nachhaltigkeit/About-KfW/Sustainability/Strategie-Management/Sustainable-Finance/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
64,['https://www.kfw.de/About-KfW/Newsroom/Latest-News/Pressemitteilungen-Details_669440.html'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
65,['https://ngo-monitor.org/reports/germanys-development-cooperation-system-the-need-for-greater-transparency-and-accountability/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
66,['https://cdn.gihub.org/umbraco/media/2620/germany-case-study.pdf'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
67,['https://www.kfw-entwicklungsbank.de/International-financing/KfW-Entwicklungsbank/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
68,['https://www.kfw.de/About-KfW/F%C3%B6rderauftrag-und-Geschichte/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
69,['https://www.kfw-entwicklungsbank.de/International-financing/KfW-Development-Bank/Tasks-and-goals/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
70,['https://hub.unido.org/bilateral-development-partners/germany'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
71,['https://www.greenclimate.fund/ae/kfw'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
72,['https://www.kfw.de/About-KfW/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
73,['https://www.kfw-entwicklungsbank.de/International-financing/KfW-Development-Bank/Topics/Environment-and-sustainability/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
74,['https://www.kfw.de/nachhaltigkeit/About-KfW/Sustainability/Strategie-Management/KfW-und-SDG/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
75,['https://www.kfw.de/nachhaltigkeit/About-KfW/Sustainability/'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
76,['https://www.deval.org/en/evaluations/our-evaluations/sustainability-in-german-development-cooperation'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
77,['https://www.kfw-ipex-bank.de/pdf/About-KfW-IPEX-Bank/Social-responsibility/Environmental-and-social-sustainability/2020_10-Nachhaltigkeitsrichtlinie-KfW-IPEX-Bank-2020.pdf'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
78,['https://www.giz.de/en/worldwide/92126.html'],,,2025-03-01 21:20:58.025681,2025-03-01 21:20:58.025681
